Day,Duration,Previous,gender
2017-03-15,5,1,Female
2017-03-15,3,1,Male
2017-03-15,1,0,Unlisted
2017-03-15,4,1,Other
2017-03-15,1,0,Female
2017-03-15,6,0,Other
2017-03-15,2,0,Unlisted
2017-03-15,1,1,Other
2017-03-15,8,0,Female
2017-03-15,1,1,Unlisted
2017-03-15,9,0,Other
2017-03-15,26,1,Male
2017-03-15,2,0,Unlisted
2017-03-15,5,0,Unlisted
2017-03-15,1,0,Male
2017-03-15,5,1,Male
2017-03-15,5,1,Other
2017-03-15,1,1,Unlisted
2017-03-15,5,0,Other
2017-03-15,2,0,Female
2017-03-15,8,1,Other
2017-03-15,7,1,Male
2017-03-15,4,0,Female
2017-03-15,1,1,Other
2017-03-15,17,1,Other
2017-03-15,18,1,Other
2017-03-15,7,1,Male
2017-03-15,16,1,Other
2017-03-15,21,0,Unlisted
2017-03-15,2,1,Unlisted
2017-03-15,1,1,Other
2017-03-15,10,0,Female
2017-03-15,4,1,Other
2017-03-15,2,1,Male
2017-03-15,1,0,Female
2017-03-15,3,0,Unlisted
2017-03-15,1,1,Male
2017-03-15,2,1,Male
2017-03-15,6,1,Female
2017-03-15,3,0,Other
2017-03-15,7,0,Other
2017-03-15,12,0,Other
2017-03-15,3,1,Female
2017-03-15,18,1,Other
2017-03-15,11,1,Other
2017-03-15,1,1,Other
2017-03-15,12,1,Male
2017-03-15,2,1,Other
2017-03-15,6,0,Other
2017-03-15,1,0,Unlisted
2017-03-15,2,1,Male
2017-03-15,28,1,Female
2017-03-15,3,0,Female
2017-03-15,4,1,Unlisted
2017-03-15,3,0,Other
2017-03-15,13,1,Male
2017-03-15,7,1,Unlisted
2017-03-15,3,1,Other
2017-03-15,1,0,Male
2017-03-15,4,1,Female
2017-03-15,3,0,Female
2017-03-15,2,0,Unlisted
2017-03-15,1,1,Other
2017-03-15,9,1,Female
2017-03-15,2,0,Female
2017-03-15,9,1,Male
2017-03-15,4,0,Female
2017-03-15,23,1,Male
2017-03-15,2,1,Female
2017-03-15,6,1,Other
2017-03-15,1,0,Male
2017-03-15,4,0,Male
2017-03-15,4,0,Unlisted
2017-03-15,4,0,Female
2017-03-15,1,1,Female
2017-03-15,3,0,Other
2017-03-15,15,0,Other
2017-03-15,8,0,Unlisted
2017-03-15,4,1,Female
2017-03-15,18,1,Female
2017-03-15,11,1,Female
2017-03-15,6,1,Unlisted
2017-03-15,12,1,Female
2017-03-15,2,1,Other
2017-03-15,9,0,Other
2017-03-15,12,1,Unlisted
2017-03-15,9,0,Other
2017-03-15,2,1,Male
2017-03-15,21,1,Female
2017-03-15,17,1,Female
2017-03-15,1,1,Unlisted
2017-03-15,11,0,Female
2017-03-15,20,0,Unlisted
2017-03-15,4,0,Female
2017-03-15,4,1,Unlisted
2017-03-15,1,0,Male
2017-03-15,16,1,Male
2017-03-15,3,1,Unlisted
2017-03-15,3,0,Unlisted
2017-03-15,8,0,Unlisted
2017-03-15,6,1,Other
2017-03-15,7,0,Male
2017-03-15,13,1,Unlisted
2017-03-15,14,1,Male
2017-03-15,5,0,Other
2017-03-15,1,1,Female
2017-03-15,3,0,Other
2017-03-15,2,1,Male
2017-03-15,2,0,Male
2017-03-15,5,1,Male
2017-03-15,13,0,Male
2017-03-15,7,1,Unlisted
2017-03-15,9,1,Other
2017-03-15,3,0,Male
2017-03-15,5,1,Female
2017-03-15,7,0,Other
2017-03-16,3,1,Other
2017-03-16,22,0,Other
2017-03-16,1,0,Other
2017-03-16,2,0,Female
2017-03-16,3,0,Female
2017-03-16,4,1,Female
2017-03-16,13,0,Unlisted
2017-03-16,22,1,Other
2017-03-16,5,1,Male
2017-03-16,11,0,Male
2017-03-16,1,1,Other
2017-03-16,16,1,Other
2017-03-16,2,1,Female
2017-03-16,4,0,Female
2017-03-16,3,0,Female
2017-03-16,3,0,Male
2017-03-16,4,0,Unlisted
2017-03-16,2,1,Unlisted
2017-03-16,6,1,Other
2017-03-16,4,1,Unlisted
2017-03-16,19,0,Female
2017-03-16,1,0,Female
2017-03-16,2,0,Other
2017-03-16,2,1,Other
2017-03-16,4,1,Unlisted
2017-03-16,11,0,Other
2017-03-16,29,0,Male
2017-03-16,5,0,Unlisted
2017-03-16,2,1,Unlisted
2017-03-16,6,0,Other
2017-03-16,13,1,Other
2017-03-16,1,1,Female
2017-03-16,1,0,Male
2017-03-16,14,1,Unlisted
2017-03-16,16,0,Other
2017-03-16,5,0,Female
2017-03-16,3,0,Male
2017-03-16,6,1,Unlisted
2017-03-16,9,0,Female
2017-03-16,1,1,Male
2017-03-16,4,1,Other
2017-03-16,2,0,Male
2017-03-16,5,0,Unlisted
2017-03-16,4,0,Unlisted
2017-03-16,3,0,Male
2017-03-16,3,1,Male
2017-03-16,6,1,Unlisted
2017-03-16,2,0,Male
2017-03-16,5,1,Other
2017-03-16,21,0,Male
2017-03-16,23,0,Other
2017-03-16,2,1,Male
2017-03-16,3,1,Male
2017-03-16,8,0,Male
2017-03-16,7,0,Other
2017-03-16,7,0,Female
2017-03-16,9,1,Female
2017-03-16,3,1,Other
2017-03-16,1,0,Male
2017-03-16,2,1,Male
2017-03-16,4,1,Male
2017-03-16,5,1,Male
2017-03-16,14,1,Other
2017-03-16,18,1,Female
2017-03-16,5,0,Unlisted
2017-03-16,13,1,Male
2017-03-16,16,1,Other
2017-03-16,6,0,Male
2017-03-16,3,0,Male
2017-03-16,5,0,Unlisted
2017-03-16,5,1,Female
2017-03-16,6,0,Female
2017-03-16,16,0,Unlisted
2017-03-16,1,0,Male
2017-03-16,1,1,Male
2017-03-16,1,1,Unlisted
2017-03-16,2,0,Other
2017-03-16,2,0,Male
2017-03-16,13,0,Male
2017-03-16,3,0,Unlisted
2017-03-16,3,0,Unlisted
2017-03-16,20,1,Unlisted
2017-03-16,11,1,Unlisted
2017-03-16,6,0,Female
2017-03-16,7,0,Other
2017-03-16,2,1,Male
2017-03-16,4,1,Unlisted
2017-03-16,6,0,Unlisted
2017-03-16,7,0,Male
2017-03-16,2,0,Other
2017-03-17,23,0,Unlisted
2017-03-17,11,1,Female
2017-03-17,10,0,Female
2017-03-17,7,1,Unlisted
2017-03-17,9,1,Other
2017-03-17,3,0,Male
2017-03-17,3,0,Male
2017-03-17,18,0,Female
2017-03-17,3,1,Unlisted
2017-03-17,6,0,Female
2017-03-17,19,0,Other
2017-03-17,8,0,Unlisted
2017-03-17,3,1,Female
2017-03-17,1,0,Male
2017-03-17,19,1,Male
2017-03-17,2,1,Male
2017-03-17,16,1,Other
2017-03-17,4,0,Unlisted
2017-03-17,5,0,Male
2017-03-17,1,1,Male
2017-03-17,2,1,Other
2017-03-17,4,0,Unlisted
2017-03-17,1,1,Male
2017-03-17,1,1,Other
2017-03-17,8,0,Male
2017-03-17,7,0,Female
2017-03-17,10,1,Unlisted
2017-03-17,1,1,Unlisted
2017-03-17,1,0,Female
2017-03-17,1,0,Male
2017-03-17,8,0,Unlisted
2017-03-17,3,0,Female
2017-03-17,7,0,Unlisted
2017-03-17,1,0,Male
2017-03-17,4,1,Other
2017-03-17,8,1,Unlisted
2017-03-17,4,1,Unlisted
2017-03-17,2,0,Male
2017-03-17,6,1,Female
2017-03-17,7,0,Female
2017-03-17,1,1,Male
2017-03-17,1,1,Female
2017-03-17,16,1,Female
2017-03-17,2,1,Female
2017-03-17,5,1,Male
2017-03-17,1,0,Female
2017-03-17,1,1,Unlisted
2017-03-17,7,0,Male
2017-03-17,5,1,Male
2017-03-17,1,1,Female
2017-03-17,3,1,Unlisted
2017-03-17,1,1,Female
2017-03-17,1,1,Male
2017-03-17,8,0,Female
2017-03-17,2,1,Unlisted
2017-03-17,1,0,Other
2017-03-17,3,0,Unlisted
2017-03-17,1,1,Unlisted
2017-03-17,2,1,Unlisted
2017-03-17,12,0,Female
2017-03-17,2,0,Unlisted
2017-03-17,48,1,Unlisted
2017-03-17,4,1,Male
2017-03-17,1,0,Male
2017-03-17,18,1,Male
2017-03-17,1,1,Female
2017-03-17,5,1,Other
2017-03-17,8,0,Unlisted
2017-03-17,10,0,Other
2017-03-17,1,1,Other
2017-03-17,6,1,Male
2017-03-17,1,0,Other
2017-03-17,2,1,Other
2017-03-17,14,1,Other
2017-03-17,5,0,Unlisted
2017-03-17,6,1,Unlisted
2017-03-17,7,0,Female
2017-03-17,1,1,Unlisted
2017-03-17,3,1,Female
2017-03-17,2,1,Male
2017-03-17,3,0,Female
2017-03-17,7,1,Male
2017-03-17,9,1,Female
2017-03-17,16,1,Other
2017-03-17,3,0,Other
2017-03-17,1,0,Male
2017-03-17,10,1,Unlisted
2017-03-17,8,0,Male
2017-03-17,5,0,Other
2017-03-17,14,1,Other
2017-03-17,5,0,Male
2017-03-17,9,1,Male
2017-03-17,4,0,Female
2017-03-17,5,1,Male
2017-03-17,4,0,Unlisted
2017-03-17,9,1,Unlisted
2017-03-17,2,0,Male
2017-03-17,1,0,Unlisted
2017-03-17,9,1,Female
2017-03-17,26,1,Male
2017-03-17,6,1,Female
2017-03-17,1,1,Male
2017-03-17,1,1,Other
2017-03-17,6,1,Other
2017-03-18,1,0,Male
2017-03-18,28,0,Unlisted
2017-03-18,1,0,Unlisted
2017-03-18,11,0,Male
2017-03-18,10,1,Female
2017-03-18,1,0,Unlisted
2017-03-18,1,0,Unlisted
2017-03-18,17,1,Female
2017-03-18,5,0,Unlisted
2017-03-18,15,0,Unlisted
2017-03-18,4,0,Female
2017-03-18,8,0,Unlisted
2017-03-18,25,0,Female
2017-03-18,4,0,Male
2017-03-18,5,0,Unlisted
2017-03-18,5,0,Unlisted
2017-03-18,2,1,Male
2017-03-18,3,1,Other
2017-03-18,2,1,Other
2017-03-18,34,1,Female
2017-03-18,8,1,Female
2017-03-18,6,0,Unlisted
2017-03-18,3,0,Unlisted
2017-03-18,2,0,Other
2017-03-18,1,0,Unlisted
2017-03-18,4,1,Unlisted
2017-03-18,6,0,Male
2017-03-18,16,0,Male
2017-03-18,3,1,Female
2017-03-18,2,0,Unlisted
2017-03-18,2,1,Unlisted
2017-03-18,2,1,Male
2017-03-18,12,0,Female
2017-03-18,2,0,Female
2017-03-18,2,0,Other
2017-03-18,5,1,Other
2017-03-18,1,1,Male
2017-03-18,7,1,Male
2017-03-18,30,0,Male
2017-03-18,8,0,Male
2017-03-18,7,1,Unlisted
2017-03-18,12,1,Female
2017-03-18,17,1,Male
2017-03-18,2,0,Unlisted
2017-03-18,2,1,Female
2017-03-18,3,0,Female
2017-03-18,22,0,Male
2017-03-18,7,0,Other
2017-03-18,8,0,Male
2017-03-18,8,1,Other
2017-03-18,20,1,Unlisted
2017-03-18,16,0,Other
2017-03-18,2,0,Other
2017-03-18,12,1,Female
2017-03-18,14,1,Other
2017-03-18,9,1,Unlisted
2017-03-18,8,1,Male
2017-03-18,29,0,Unlisted
2017-03-18,6,0,Unlisted
2017-03-18,4,1,Other
2017-03-18,2,0,Other
2017-03-18,2,1,Male
2017-03-18,3,1,Male
2017-03-18,9,1,Unlisted
2017-03-18,7,0,Female
2017-03-18,3,0,Other
2017-03-18,7,1,Male
2017-03-18,11,0,Other
2017-03-18,13,1,Other
2017-03-18,1,1,Female
2017-03-18,13,1,Female
2017-03-18,3,0,Male
2017-03-18,6,0,Male
2017-03-18,13,0,Unlisted
2017-03-18,8,0,Female
2017-03-18,14,1,Unlisted
2017-03-18,9,0,Other
2017-03-18,1,0,Other
2017-03-18,6,1,Other
2017-03-18,10,0,Other
2017-03-18,11,1,Male
2017-03-18,19,1,Other
2017-03-18,17,0,Female
2017-03-18,6,0,Female
2017-03-18,12,0,Female
2017-03-18,5,1,Other
2017-03-18,5,0,Female
2017-03-18,3,1,Unlisted
2017-03-18,5,0,Unlisted
2017-03-18,14,1,Male
2017-03-18,8,0,Unlisted
2017-03-18,3,0,Other
2017-03-18,5,0,Male
2017-03-18,2,1,Female
2017-03-18,8,0,Female
2017-03-18,1,1,Other
2017-03-18,2,0,Other
2017-03-18,14,1,Unlisted
2017-03-18,4,0,Unlisted
2017-03-18,6,0,Male
2017-03-18,3,0,Other
2017-03-18,3,0,Male
2017-03-18,1,1,Female
2017-03-18,2,0,Female
2017-03-18,2,1,Male
2017-03-18,8,0,Unlisted
2017-03-18,4,0,Unlisted
2017-03-18,1,0,Other
2017-03-18,17,0,Other
2017-03-18,14,0,Male
2017-03-18,5,1,Other
2017-03-18,3,1,Female
2017-03-18,2,0,Unlisted
2017-03-18,6,1,Male
2017-03-18,9,0,Female
2017-03-19,4,0,Unlisted
2017-03-19,26,1,Other
2017-03-19,1,0,Female
2017-03-19,11,1,Female
2017-03-19,2,1,Other
2017-03-19,4,0,Male
2017-03-19,8,1,Unlisted
2017-03-19,10,0,Female
2017-03-19,18,0,Unlisted
2017-03-19,4,1,Unlisted
2017-03-19,14,1,Female
2017-03-19,1,0,Male
2017-03-19,2,0,Other
2017-03-19,5,1,Male
2017-03-19,1,0,Male
2017-03-19,4,1,Unlisted
2017-03-19,2,0,Female
2017-03-19,8,1,Female
2017-03-19,8,0,Male
2017-03-19,4,1,Unlisted
2017-03-19,1,1,Other
2017-03-19,8,0,Female
2017-03-19,3,0,Other
2017-03-19,5,0,Other
2017-03-19,9,0,Female
2017-03-19,3,0,Female
2017-03-19,7,0,Female
2017-03-19,4,0,Unlisted
2017-03-19,5,1,Male
2017-03-19,1,1,Female
2017-03-19,6,1,Female
2017-03-19,3,0,Unlisted
2017-03-19,5,1,Female
2017-03-19,1,1,Female
2017-03-19,15,1,Female
2017-03-19,4,0,Male
2017-03-19,30,0,Other
2017-03-19,4,1,Other
2017-03-19,7,0,Other
2017-03-19,2,0,Unlisted
2017-03-19,18,0,Other
2017-03-19,9,1,Unlisted
2017-03-19,8,0,Unlisted
2017-03-19,2,1,Unlisted
2017-03-19,5,0,Other
2017-03-19,2,0,Unlisted
2017-03-19,15,1,Female
2017-03-19,1,0,Other
2017-03-19,5,0,Other
2017-03-19,5,0,Male
2017-03-19,3,1,Other
2017-03-19,3,1,Female
2017-03-19,4,1,Unlisted
2017-03-19,7,1,Unlisted
2017-03-19,5,0,Unlisted
2017-03-19,8,1,Other
2017-03-19,2,0,Other
2017-03-19,16,0,Other
2017-03-19,32,0,Other
2017-03-19,6,0,Female
2017-03-19,3,1,Female
2017-03-19,7,1,Unlisted
2017-03-19,1,1,Other
2017-03-19,4,1,Unlisted
2017-03-19,1,1,Unlisted
2017-03-19,4,0,Other
2017-03-19,7,0,Male
2017-03-19,3,1,Female
2017-03-19,9,0,Female
2017-03-19,2,0,Male
2017-03-19,13,0,Male
2017-03-19,4,0,Unlisted
2017-03-19,8,0,Female
2017-03-19,3,1,Female
2017-03-19,2,1,Other
2017-03-19,4,1,Male
2017-03-19,5,0,Male
2017-03-19,4,1,Other
2017-03-19,4,1,Male
2017-03-19,2,0,Unlisted
2017-03-19,2,1,Female
2017-03-19,26,1,Unlisted
2017-03-19,14,1,Other
2017-03-19,3,1,Other
2017-03-19,1,0,Male
2017-03-19,5,1,Male
2017-03-19,9,1,Other
2017-03-19,10,1,Female
2017-03-19,15,1,Female
2017-03-19,8,0,Other
2017-03-19,15,0,Male
2017-03-19,13,1,Other
2017-03-19,2,0,Female
2017-03-19,8,1,Unlisted
2017-03-19,7,1,Female
2017-03-19,2,1,Female
2017-03-19,1,1,Other
2017-03-19,4,0,Male
2017-03-19,15,0,Female
2017-03-19,2,1,Unlisted
2017-03-19,10,0,Male
2017-03-19,10,0,Other
2017-03-19,5,1,Other
2017-03-19,2,0,Male
2017-03-19,3,0,Unlisted
2017-03-19,11,0,Other
2017-03-19,5,1,Male
2017-03-19,3,0,Other
2017-03-19,5,1,Unlisted
2017-03-19,2,0,Male
2017-03-19,1,1,Male
2017-03-19,2,0,Other
2017-03-19,5,1,Female
2017-03-19,14,1,Male
2017-03-19,3,0,Female
2017-03-19,1,1,Female
2017-03-19,12,0,Female
2017-03-19,5,0,Other
2017-03-19,8,1,Unlisted
2017-03-19,20,1,Other
2017-03-19,9,0,Other
2017-03-19,24,0,Male
2017-03-19,4,1,Male
2017-03-19,2,0,Male
2017-03-19,5,1,Female
2017-03-19,1,0,Female
2017-03-19,13,1,Male
2017-03-19,3,1,Male
2017-03-19,8,0,Other
2017-03-19,6,1,Female
2017-03-19,1,1,Female
2017-03-19,2,0,Unlisted
2017-03-19,4,1,Other
2017-03-19,13,0,Male
2017-03-20,6,1,Other
2017-03-20,6,0,Male
2017-03-20,13,0,Female
2017-03-20,5,0,Male
2017-03-20,1,1,Other
2017-03-20,4,1,Female
2017-03-20,6,1,Female
2017-03-20,1,1,Male
2017-03-20,5,1,Male
2017-03-20,3,0,Female
2017-03-20,6,0,Other
2017-03-20,9,1,Male
2017-03-20,6,1,Female
2017-03-20,1,1,Other
2017-03-20,3,1,Female
2017-03-20,7,0,Female
2017-03-20,3,0,Male
2017-03-20,2,0,Female
2017-03-20,11,0,Unlisted
2017-03-20,6,0,Female
2017-03-20,3,0,Other
2017-03-20,2,0,Other
2017-03-20,1,0,Unlisted
2017-03-20,1,0,Female
2017-03-20,9,0,Male
2017-03-20,22,0,Other
2017-03-20,4,1,Female
2017-03-20,10,1,Female
2017-03-20,6,0,Unlisted
2017-03-20,6,1,Other
2017-03-20,5,0,Unlisted
2017-03-20,3,0,Unlisted
2017-03-20,1,0,Unlisted
2017-03-20,1,1,Male
2017-03-20,6,1,Unlisted
2017-03-20,29,1,Female
2017-03-20,7,1,Other
2017-03-20,3,0,Female
2017-03-20,2,1,Female
2017-03-20,2,0,Female
2017-03-20,8,0,Other
2017-03-20,5,0,Male
2017-03-20,5,1,Female
2017-03-20,1,1,Other
2017-03-20,19,0,Unlisted
2017-03-20,4,1,Female
2017-03-20,9,1,Female
2017-03-20,9,0,Unlisted
2017-03-20,5,0,Other
2017-03-20,7,1,Male
2017-03-20,2,1,Other
2017-03-20,6,0,Female
2017-03-20,16,0,Female
2017-03-20,11,0,Male
2017-03-20,2,0,Male
2017-03-20,1,1,Male
2017-03-20,14,1,Male
2017-03-20,37,1,Male
2017-03-20,2,0,Unlisted
2017-03-20,3,1,Other
2017-03-20,5,0,Other
2017-03-20,4,1,Unlisted
2017-03-20,5,0,Female
2017-03-20,2,0,Other
2017-03-20,5,1,Other
2017-03-20,14,0,Male
2017-03-20,7,0,Male
2017-03-20,13,1,Other
2017-03-20,13,1,Male
2017-03-20,3,0,Other
2017-03-20,1,0,Unlisted
2017-03-20,9,0,Unlisted
2017-03-20,3,1,Male
2017-03-20,3,0,Male
2017-03-20,8,1,Female
2017-03-20,1,0,Male
2017-03-20,9,0,Female
2017-03-20,3,0,Unlisted
2017-03-20,8,1,Other
2017-03-20,2,1,Female
2017-03-20,1,0,Other
2017-03-20,7,0,Unlisted
2017-03-20,6,0,Other
2017-03-20,18,0,Female
2017-03-20,12,0,Male
2017-03-20,5,0,Other
2017-03-20,3,0,Female
2017-03-20,6,1,Female
2017-03-20,18,1,Male
2017-03-20,3,1,Male
2017-03-20,6,0,Female
2017-03-20,19,1,Unlisted
2017-03-20,1,0,Female
2017-03-20,11,0,Unlisted
2017-03-20,3,0,Other
2017-03-20,11,0,Male
2017-03-20,13,0,Other
2017-03-20,3,0,Female
2017-03-20,12,1,Male
2017-03-20,1,1,Other
2017-03-20,2,0,Unlisted
2017-03-20,17,0,Female
2017-03-20,3,1,Male
2017-03-20,3,1,Unlisted
2017-03-20,28,1,Male
2017-03-20,4,1,Male
2017-03-20,2,0,Unlisted
2017-03-20,17,1,Unlisted
2017-03-20,1,0,Unlisted
2017-03-20,10,1,Female
2017-03-20,8,1,Unlisted
2017-03-20,1,0,Other
2017-03-20,11,1,Other
2017-03-20,3,0,Female
2017-03-20,6,1,Female
2017-03-20,9,0,Female
2017-03-20,1,1,Other
2017-03-20,4,1,Male
2017-03-20,13,0,Female
2017-03-20,1,1,Unlisted
2017-03-20,6,1,Male
2017-03-20,1,1,Unlisted
2017-03-20,1,0,Female
2017-03-20,3,0,Female
2017-03-20,3,1,Other
2017-03-20,1,0,Unlisted
2017-03-20,5,1,Female
2017-03-20,1,0,Female
2017-03-20,1,1,Unlisted
2017-03-20,9,1,Male
2017-03-20,8,0,Other
2017-03-20,1,1,Male
2017-03-20,13,0,Unlisted
2017-03-20,4,0,Female
2017-03-20,9,1,Other
2017-03-20,18,1,Female
2017-03-20,7,1,Other
2017-03-20,8,1,Female
2017-03-20,7,1,Female
2017-03-20,19,1,Female
2017-03-20,3,0,Other
2017-03-20,2,1,Female
2017-03-20,6,0,Other
2017-03-20,1,0,Unlisted
2017-03-20,7,1,Unlisted
2017-03-20,19,1,Other
2017-03-20,10,0,Unlisted
2017-03-20,3,0,Other
2017-03-20,6,1,Male
2017-03-20,2,1,Female
2017-03-20,5,0,Female
2017-03-20,17,0,Male
2017-03-20,3,1,Unlisted
2017-03-20,13,1,Unlisted
2017-03-20,3,1,Other
2017-03-20,16,0,Female
2017-03-20,5,0,Male
2017-03-20,3,1,Other
2017-03-20,4,1,Other
2017-03-20,6,1,Female
2017-03-20,3,0,Male
2017-03-20,6,1,Male
2017-03-20,11,1,Male
2017-03-20,3,1,Other
2017-03-20,1,1,Female
2017-03-20,4,1,Other
2017-03-20,4,0,Female
2017-03-20,1,1,Female
2017-03-20,5,1,Unlisted
2017-03-20,6,0,Other
2017-03-20,3,1,Male
2017-03-20,8,0,Unlisted
2017-03-20,2,0,Other
2017-03-20,25,1,Other
2017-03-20,3,1,Male
2017-03-20,4,1,Female
2017-03-20,2,1,Female
2017-03-20,9,1,Female
2017-03-20,3,0,Other
2017-03-20,2,0,Male
2017-03-20,1,0,Female
2017-03-20,3,1,Other
2017-03-20,3,0,Male
2017-03-20,6,1,Female
2017-03-20,8,1,Male
2017-03-20,12,1,Unlisted
2017-03-20,5,1,Other
2017-03-21,3,0,Unlisted
2017-03-21,3,0,Female
2017-03-21,5,1,Female
2017-03-21,3,0,Other
2017-03-21,9,0,Unlisted
2017-03-21,3,0,Male
2017-03-21,3,0,Unlisted
2017-03-21,3,0,Female
2017-03-21,6,0,Male
2017-03-21,1,0,Unlisted
2017-03-21,9,0,Other
2017-03-21,6,1,Female
2017-03-21,2,0,Unlisted
2017-03-21,4,1,Female
2017-03-21,1,1,Other
2017-03-21,5,0,Male
2017-03-21,13,0,Unlisted
2017-03-21,6,0,Unlisted
2017-03-21,7,1,Male
2017-03-21,5,1,Unlisted
2017-03-21,19,1,Other
2017-03-21,11,1,Other
2017-03-21,1,1,Other
2017-03-21,4,0,Female
2017-03-21,40,0,Unlisted
2017-03-21,1,0,Female
2017-03-21,5,1,Other
2017-03-21,7,0,Other
2017-03-21,2,0,Male
2017-03-21,12,0,Male
2017-03-21,1,1,Unlisted
2017-03-21,14,1,Other
2017-03-21,5,1,Other
2017-03-21,3,1,Male
2017-03-21,15,0,Other
2017-03-21,2,0,Other
2017-03-21,9,1,Unlisted
2017-03-21,8,1,Male
2017-03-21,13,1,Unlisted
2017-03-21,11,0,Unlisted
2017-03-21,10,1,Other
2017-03-21,2,0,Female
2017-03-21,3,1,Other
2017-03-21,6,1,Female
2017-03-21,8,1,Unlisted
2017-03-21,1,0,Unlisted
2017-03-21,9,1,Other
2017-03-21,10,0,Unlisted
2017-03-21,2,1,Unlisted
2017-03-21,12,0,Male
2017-03-21,7,1,Male
2017-03-21,5,0,Male
2017-03-21,13,1,Female
2017-03-21,3,1,Female
2017-03-21,4,0,Other
2017-03-21,1,0,Unlisted
2017-03-21,6,1,Other
2017-03-21,7,1,Male
2017-03-21,1,0,Other
2017-03-21,5,0,Male
2017-03-21,3,0,Female
2017-03-21,1,1,Other
2017-03-21,20,0,Unlisted
2017-03-21,6,0,Female
2017-03-21,4,1,Female
2017-03-21,21,1,Female
2017-03-21,1,0,Male
2017-03-21,7,0,Unlisted
2017-03-21,4,1,Unlisted
2017-03-21,4,1,Male
2017-03-21,1,1,Other
2017-03-21,11,1,Other
2017-03-21,7,1,Female
2017-03-21,4,0,Male
2017-03-21,4,1,Female
2017-03-21,18,1,Unlisted
2017-03-21,8,1,Female
2017-03-21,7,1,Unlisted
2017-03-21,6,1,Male
2017-03-21,1,0,Unlisted
2017-03-21,6,0,Unlisted
2017-03-21,1,1,Unlisted
2017-03-21,1,0,Male
2017-03-21,3,0,Male
2017-03-21,1,1,Female
2017-03-21,4,0,Other
2017-03-21,4,0,Female
2017-03-21,2,0,Other
2017-03-21,17,1,Female
2017-03-21,14,0,Male
2017-03-21,1,0,Other
2017-03-21,4,1,Female
2017-03-21,9,1,Unlisted
2017-03-21,5,0,Male
2017-03-21,4,1,Unlisted
2017-03-21,4,1,Male
2017-03-21,8,1,Unlisted
